in,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style,titratable_acidity_ratio,acidity_index,sulfur_dioxide_ratio,chlorides_density_ratio,alcohol_ph_index,sulphates_alcohol_ratio,pH_category,quality_category
25,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,red,16.153846153846153,6.85,0.4782608695652174,0.0803616273229533,31.062,0.060215053763440864,medium,average
26,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,red,18.536585365853657,8.25,0.36363636363636365,0.08030515960650472,31.159999999999997,0.06210526315789473,medium,average
28,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,red,10.0,7.81,0.4,0.08022462896109106,32.618,0.05851063829787234,medium,average
29,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,red,12.093023255813954,8.445,0.5,0.08229626655961463,33.124,0.060204081632653055,medium,average
30,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,red,9.925925925925926,7.445,0.2073170731707317,0.08937537658164289,33.835,0.05346534653465347,medium,average
31,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,red,10.072992700729927,7.585000000000001,0.5945945945945946,0.1053582179409994,36.676,0.05377358490566037,medium,average
32,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,red,12.67175572519084,9.075,0.13274336283185842,0.08328316275336144,31.066000000000003,0.0673469387755102,medium,average
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,red,11.40495867768595,7.625000000000001,0.4819277108433735,0.07305113579505654,32.43,0.05531914893617021,medium,average
34,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,red,16.25,5.7700000000000005,0.26,0.10344481269458672,31.095999999999997,0.05978260869565218,medium,average
35,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,red,12.093023255813954,8.445,0.2777777777777778,0.08612056879631483,32.64,0.05729166666666667,medium,average
36,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,red,13.0,8.540000000000001,0.2,0.08621553884711779,36.936,0.05555555555555555,medium,average
37,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,red,21.31578947368421,8.76,0.43333333333333335,0.06621187800963083,31.330999999999996,0.0752577319587629,medium,good
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,red,5.04424778761062,6.92,0.3684210526315789,0.17303822937625754,34.300000000000004,0.04897959183673469,high,poor
39,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,16.22222222222222,8.11,0.13793103448275862,0.0741631589496893,34.965,0.07904761904761905,medium,average
41,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,red,14.426229508196723,9.71,0.3695652173913043,0.08821170809943864,30.318,0.05483870967741935,medium,poor
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,red,15.306122448979592,8.19,0.5714285714285714,0.3330658105939005,33.705,0.08571428571428572,medium,average
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,red,12.272727272727272,8.98,0.391304347826087,0.0692215088282504,33.99,0.11650485436893203,medium,average
44,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,red,10.149253731343283,7.489999999999999,0.45454545454545453,0.050190724754065455,33.06,0.05473684210526316,medium,average
45,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,red,8.846153846153845,5.27,0.12307692307692308,0.05435876786792833,51.089999999999996,0.04274809160305344,high,poor
46,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,red,8.235294117647058,9.065,0.19298245614035087,0.1143430290872618,29.9,0.07934782608695652,medium,average
47,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,red,30.0,9.509999999999998,0.32432432432432434,0.11335138930685124,30.875,0.061052631578947365,medium,average
48,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,red,16.0,7.030000000000001,0.4166666666666667,0.06627836915043181,30.727999999999998,0.060869565217391314,medium,average
49,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,red,18.064516129032256,6.279999999999999,0.125,0.07434197307615029,30.543999999999997,0.06304347826086956,medium,average
50,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,red,13.333333333333334,9.72,0.17391304347826086,0.0742152241500351,28.979999999999997,0.08043478260869566,medium,average
51,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,red,12.692307692307692,7.159999999999999,0.5333333333333333,0.06930494174367216,31.96,0.06702127659574468,medium,average
52,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,red,13.2,7.14,0.42857142857142855,0.0683073832245103,31.866000000000003,0.06808510638297872,medium,average
53,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,red,22.63157894736842,9.34,0.25210084033613445,0.08124373119358075,30.080000000000002,0.059574468085106386,medium,average
54,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,red,14.901960784313724,8.26,0.4520547945205479,0.11049723756906077,32.333999999999996,0.061764705882352944,medium,average
55,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,red,12.419354838709678,8.36,0.5555555555555556,0.0841852074564041,31.729999999999997,0.05578947368421053,medium,average
56,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,red,24.285714285714285,11.19,0.4,0.07020359041219537,29.183999999999997,0.065625,medium,average
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,red,11.904761904761905,8.25,0.45454545454545453,0.11118902133627166,30.644,0.08191489361702127,medium,average
58,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,red,13.220338983050848,8.57,0.3148148148148148,0.07619047619047618,34.300000000000004,0.059,medium,average
59,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,red,18.717948717948715,7.999999999999999,0.1956521739130435,0.07428227263601686,32.054,0.0574468085106383,medium,average
60,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,red,22.0,9.600000000000001,0.36538461538461536,0.07915831663326653,31.647999999999996,0.06956521739130435,medium,average
61,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,red,11.159420289855074,8.88,0.17857142857142858,0.11536918138041734,29.853,0.07634408602150537,medium,average
62,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,red,14.423076923076923,8.18,0.34285714285714286,0.08527287319422151,32.11,0.06526315789473684,medium,good
63,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,red,9.523809523809524,7.785,0.24074074074074073,0.08127633955448525,33.222,0.05816326530612244,medium,average
64,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,red,9.931034482758621,7.975,0.36363636363636365,0.08632804657699257,37.169000000000004,0.03577981651376147,medium,average
66,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,red,14.423076923076923,8.129999999999999,0.28205128205128205,0.07925361155698234,32.832,0.06041666666666667,medium,average
67,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,red,9.361702127659575,7.375,0.4,0.07628990162617948,36.808,0.05420560747663551,medium,average
68,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,red,29.0625,10.190000000000001,0.4153846153846154,0.0742301133513893,35.096,0.07383177570093459,medium,average
69,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,red,11.347517730496454,8.755,0.42105263157894735,0.07428227263601686,35.07,0.09047619047619047,medium,average
70,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,red,12.222222222222223,8.41,0.5555555555555556,0.07625163038025484,31.54,0.056842105263157895,medium,average
71,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,red,11.492537313432836,8.600000000000001,0.17708333333333334,0.08833567556715519,31.54,0.05052631578947368,medium,average
72,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,red,11.159420289855074,8.610000000000001,0.19148936170212766,0.084328882642305,31.445,0.05052631578947368,medium,average
73,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,4,red,12.296296296296296,9.235000000000001,0.2558139534883721,0.08420208500400962,30.451999999999998,0.05760869565217392,medium,poor
74,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,red,30.312499999999996,10.559999999999999,0.3373493975903614,0.09415064102564102,31.487999999999996,0.08541666666666667,medium,average
75,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,red,21.463414634146343,9.850000000000001,0.21428571428571427,0.09313038253554977,37.17,0.06285714285714286,high,average
77,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,red,8.662420382165605,7.585,0.4666666666666667,0.1043548063415613,37.663999999999994,0.05140186915887851,high,average
78,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,red,8.933333333333334,7.57,0.15,0.08636272343844145,34.138,0.05148514851485149,medium,average
79,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,4,red,13.280000000000001,9.125,0.226890756302521,0.08022462896109106,28.756,0.1230769230769231,medium,poor
80,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,red,13.777777777777779,6.8500000000000005,0.2,0.06929102229363326,31.372,0.060869565217391314,medium,average
81,7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,red,18.13953488372093,8.93,0.3283582089552239,0.465209544816523,29.422,0.13617021276595745,medium,average
82,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,red,14.8,8.370000000000001,0.2876712328767123,0.08625877632898696,30.575999999999997,0.06263736263736264,medium,average
83,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,red,10.895522388059701,8.23,0.3137254901960784,0.4022469655933394,29.704000000000004,0.12127659574468083,medium,average
84,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,red,21.0,7.08,0.29508196721311475,0.06928406466512703,35.432,0.07572815533980583,medium,average
85,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,red,12.545454545454545,7.6000000000000005,0.475,0.07629756048589499,34.441,0.05841584158415841,medium,average
86,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,red,17.551020408163264,9.37,0.14705882352941177,0.11030886482150021,29.007,0.19696969696969696,low,average
87,7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,red,15.714285714285715,8.45,0.2903225806451613,0.062211519165161544,32.544,0.06666666666666667,medium,average
88,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,red,23.846153846153847,10.13,0.272,0.10723591902184806,29.830000000000002,0.12842105263157894,medium,average
89,7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,red,11.290322580645162,7.7,0.3333333333333333,0.07616756865103226,31.32,0.05888888888888889,medium,average
90,7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,red,15.192307692307692,8.68,0.3,0.07928542753914092,30.685,0.056842105263157895,medium,average
92,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,red,17.551020408163264,9.379999999999999,0.14285714285714285,0.11030886482150021,28.714000000000002,0.2020408163265306,low,average
94,5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,4,red,4.901960784313726,6.06,0.4823529411764706,0.04528074059166834,39.375,0.045714285714285714,high,poor
95,4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,red,7.833333333333334,5.47,0.16037735849056603,0.05839710028191704,49.665,0.046511627906976744,high,average
96,6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,red,8.774193548387096,7.575,0.34782608695652173,0.10235825388861013,36.915,0.05233644859813085,medium,average
97,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,red,14.0,7.75,0.13636363636363635,0.07025996185887785,29.9,0.06847826086956522,medium,average
98,7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,red,8.444444444444445,8.56,0.5,0.0792615631584228,33.222,0.05714285714285714,medium,average
99,8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,red,14.862385321100916,8.825,0.37142857142857144,0.08022462896109106,29.7,0.06555555555555555,medium,average
100,8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,red,13.606557377049182,9.21,0.22,0.08423586040914562,34.68,0.059803921568627454,medium,average
101,7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,red,15.6,8.600000000000001,0.36363636363636365,0.07530876594035546,34.424,0.05384615384615385,medium,average
103,8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,red,14.08695652173913,8.895,0.18461538461538463,0.07725494130631082,30.267999999999997,0.05543478260869566,medium,average
104,7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,red,14.693877551020408,7.930000000000001,0.1388888888888889,0.07028112449799198,31.302000000000003,0.05106382978723404,medium,average
106,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,red,19.024390243902438,8.889999999999999,0.2608695652173913,0.4682643136468465,28.644000000000002,0.14086021505376345,medium,average
107,6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,red,9.841269841269842,7.14,0.234375,0.08827364830976026,32.178000000000004,0.08494623655913978,medium,average
108,8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,red,24.242424242424242,8.86,0.225,0.09121892542101041,32.352,0.08333333333333334,medium,average
109,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,red,10.318471337579616,9.405,0.24183006535947713,0.12237937606580399,29.853,0.07419354838709677,medium,average
110,7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,red,13.928571428571427,8.549999999999999,0.2553191489361702,0.10437575270975512,30.305,0.09789473684210527,medium,average
111,8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,red,13.548387096774194,9.11,0.10185185185185185,0.08430349257326376,30.87,0.0673469387755102,medium,average
112,8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,red,14.000000000000002,9.1,0.12612612612612611,0.08530710558008833,30.87,0.0673469387755102,medium,average
113,10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,red,32.58064516129032,10.85,0.4782608695652174,0.08009611533840609,32.20399999999999,0.06907216494845361,medium,average
115,9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,red,23.5,10.110000000000001,0.20967741935483872,0.09030704394942805,32.235,0.06,medium,average
116,8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,red,15.37037037037037,9.12,0.275,0.07716977350170375,33.9,0.061,medium,average
117,7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,6,red,13.928571428571427,8.479999999999999,0.25,0.08224674022066199,31.678,0.05319148936170213,medium,average
118,8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,red,16.0,9.39,0.25,0.11945392491467577,34.989,0.055045871559633024,medium,average
119,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,6,red,10.144927536231885,7.77,0.24719101123595505,0.09739933728285972,30.727999999999998,0.05869565217391305,medium,average
120,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,red,6.822429906542055,8.459999999999999,0.11235955056179775,0.178678980124473,29.7,0.06333333333333332,medium,average
122,7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,red,10.503597122302159,7.995,0.23076923076923078,0.0751503006012024,32.108,0.05652173913043479,medium,average
123,8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,red,11.267605633802818,8.71,0.3235294117647059,0.08019246190858059,32.68,0.05578947368421053,medium,average
124,7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,5,red,15.6,8.47,0.20588235294117646,0.08232931726907632,32.205,0.05052631578947368,medium,average
125,9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,red,14.516129032258064,9.659999999999998,0.3,0.14623397435897437,29.704000000000004,0.07446808510638298,medium,average
126,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,red,6.1654135338345855,9.53,0.25,0.08129265355279006,38.477,0.04495412844036697,high,average
127,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,red,6.090225563909774,9.43,0.25,0.08229626655961463,38.586,0.04403669724770642,high,average
128,8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,red,13.559322033898306,8.75,0.1875,0.06524794218028508,35.91,0.08761904761904762,medium,good
129,6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,red,16.052631578947366,6.63,0.3157894736842105,0.07232546459065795,32.148,0.060638297872340416,medium,average
130,8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,red,10.738255033557047,9.305,0.22388059701492538,0.11837881219903691,30.456000000000003,0.07021276595744681,medium,average
131,5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,red,11.2,6.1899999999999995,0.1717171717171717,0.04931065713998189,47.19,0.04846153846153846,high,average
133,6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,red,13.2,7.109999999999999,0.6538461538461539,0.06028938906752412,33.32,0.05918367346938775,medium,average
134,7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,red,7.596153846153846,8.990000000000002,0.4482758620689655,0.08434581785319811,31.878000000000004,0.05555555555555556,medium,average
135,8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,red,11.275167785234899,9.254999999999999,0.25396825396825395,0.09031610637230306,30.624,0.08541666666666667,medium,average
136,8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,red,11.60839160839161,9.165000000000001,0.19230769230769232,0.08928571428571427,30.685,0.08105263157894738,medium,average
137,7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,red,17.34939759036145,7.9750000000000005,0.28888888888888886,0.0812274368231047,32.016,0.06956521739130435,medium,average
138,7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,red,13.928571428571427,8.549999999999999,0.14285714285714285,0.08130897410158604,31.635,0.056842105263157895,medium,average
139,7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,red,13.928571428571427,8.549999999999999,0.1574074074074074,0.08130897410158604,31.54,0.056842105263157895,medium,average
142,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,red,15.294117647058822,5.54,0.42857142857142855,0.050423557886244454,51.52,0.05642857142857143,high,average
143,6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,red,16.153846153846153,6.77,0.15,0.06630500301386379,31.396,0.06170212765957446,medium,average
145,8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,5,red,12.089552238805968,9.32,0.22695035460992907,0.11737560192616373,29.798000000000002,0.06595744680851064,medium,average
146,5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,red,8.529411764705882,6.499999999999999,0.22340425531914893,0.08748994368463395,35.4,0.052000000000000005,high,average
147,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,red,15.510204081632653,8.35,0.11363636363636363,0.23675762439807382,28.923000000000002,0.08602150537634408,medium,average
148,6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,red,14.081632653061225,7.49,0.4,0.07430464906115071,34.884,0.056862745098039215,medium,average
149,8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,red,20.499999999999996,9.04,0.2558139534883721,0.08922305764411027,37.065,0.058095238095238096,high,average
150,7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,red,22.12121212121212,8.1,0.45454545454545453,0.07732476400883712,34.29900000000001,0.05145631067961165,medium,average
151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,red,17.69230769230769,10.719999999999999,0.463768115942029,0.6102440976390556,25.756000000000004,0.2127659574468085,low,poor
152,7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,red,12.5,8.129999999999999,0.25252525252525254,0.09547738693467336,33.835,0.05346534653465347,medium,average
